obs_mode,train_scenario,test_scenario,algo,reward_config,curriculum,seed,reward_mean,reward_std,ch4_avg,ch4_std,violation_rate,violation_rate_std,overall_score,terminated_rate,ph_mean,vfa_max_mean,vfa_cvar95,vfa_worst_episode,score_worst,score_cvar95
full,temperature_drop,cold_winter,sac,safety_first,False,123,0.3391704129068275,5.851389114294502e-17,701.413288953603,0.0,0.0,0.0,0.665999155691438,0.0,7.270380879353114,0.13894049536757008,0.0,0.0,0.665999155691438,-0.665999155691438
full,temperature_drop,nominal,sac,safety_first,False,456,0.7288567520064324,0.0,1686.9999427352166,0.0,0.0,0.0,0.9104281866422091,0.0,7.232028055505611,0.16712519709482423,0.0,0.0,0.9104281866422091,-0.9104281866422091
full,temperature_drop,high_load,sac,safety_first,False,456,0.6171544141788756,1.1702778228589004e-16,1938.2259379276609,0.0,0.15280430630317762,0.0,0.9092653557973229,0.0,7.2505509470489375,0.2021915428476102,0.15280430630317762,0.15280430630317762,0.9092653557973227,-0.9092653557973227
full,temperature_drop,low_load,sac,safety_first,False,456,0.2561235820523159,5.851389114294502e-17,579.0015439651371,0.0,0.0,0.0,0.5535412596068398,0.0,7.186625601365319,0.13786945912462018,0.0,0.0,0.5535412596068396,-0.5535412596068396
full,temperature_drop,shock_load,sac,safety_first,False,456,0.7288141169908053,0.0,1686.9141818795972,2.396728981215028e-13,0.0,0.0,0.9099729928525578,0.0,7.232206113836068,0.16944327133394294,0.0,0.0,0.9099729928525578,-0.9099729928525578
full,temperature_drop,temperature_drop,sac,safety_first,False,456,0.7276430898300135,1.1702778228589004e-16,1683.5524956769848,2.396728981215028e-13,0.0,0.0,0.9088787003583716,0.0,7.232457117268875,0.16794902772055822,0.0,0.0,0.9088787003583716,-0.9088787003583716
full,temperature_drop,cold_winter,sac,safety_first,False,456,0.2170606987822407,0.0,460.79358690510827,0.0,0.0,0.0,0.532097516864991,0.0,7.170928080065943,0.1389656735066807,0.0,0.0,0.532097516864991,-0.532097516864991
full,cold_winter,nominal,sac,safety_first,False,42,-1.121942070471418,0.0,1998.7002207558285,2.396728981215028e-13,0.8524049314117035,1.1702778228589004e-16,0.6277120036272857,0.0,7.299586553358177,0.28548871937379616,0.8524049314117034,0.8524049314117034,0.6277120036272857,-0.6277120036272857
full,cold_winter,high_load,sac,safety_first,False,42,-2.2310022723919447,4.681111291435602e-16,1988.1560220351432,2.396728981215028e-13,0.9869769057127973,1.1702778228589004e-16,0.5808470007839988,0.0,7.368224863012358,0.3646094398880507,0.9869769057127974,0.9869769057127974,0.5808470007839986,-0.5808470007839986
full,cold_winter,low_load,sac,safety_first,False,42,0.5678459308268643,1.1702778228589004e-16,1311.5733869631483,2.396728981215028e-13,0.0,0.0,0.795264392549907,0.0,7.189535528952733,0.18607604812602796,0.0,0.0,0.7952643925499071,-0.7952643925499071
full,cold_winter,shock_load,sac,safety_first,False,42,-1.1320952393440094,0.0,1999.4773964677922,0.0,0.8565723215836083,0.0,0.6259461644330102,0.0,7.300168175611934,0.2856847261976071,0.8565723215836083,0.8565723215836083,0.6259461644330102,-0.6259461644330102
full,cold_winter,temperature_drop,sac,safety_first,False,42,-1.1263692307770814,0.0,2000.155930408088,0.0,0.8548359090119814,1.1702778228589004e-16,0.6269622326871502,0.0,7.2998791486135515,0.28564642680439073,0.8548359090119813,0.8548359090119813,0.6269622326871502,-0.6269622326871502
full,cold_winter,cold_winter,sac,safety_first,False,42,0.46159573970037504,1.1702778228589004e-16,1004.4222196181893,1.198364490607514e-13,0.008508421600972389,1.828559098217032e-18,0.7080070064918658,0.0,7.230444647862757,0.207427497345748,0.00850842160097239,0.00850842160097239,0.7080070064918657,-0.7080070064918657
full,cold_winter,nominal,sac,safety_first,False,123,0.6442513965504596,0.0,1480.803909587015,0.0,0.0,0.0,0.8706115641316353,0.0,7.205797303248775,0.1569492869373768,0.0,0.0,0.8706115641316353,-0.8706115641316353
full,cold_winter,high_load,sac,safety_first,False,123,0.28653838967092093,5.851389114294502e-17,1815.5477646626546,0.0,0.34242055912484803,5.851389114294502e-17,0.8039272330795899,0.0,7.254457527138354,0.195265377934972,0.3424205591248481,0.3424205591248481,0.80392723307959,-0.80392723307959
full,cold_winter,low_load,sac,safety_first,False,123,0.4820844505150065,5.851389114294502e-17,1126.7611202139628,2.396728981215028e-13,0.0,0.0,0.7922311564566441,0.0,7.140110718372983,0.13316893457706877,0.0,0.0,0.7922311564566441,-0.7922311564566441
